tx	gene_id	SRX17661462	SRX17661463	SRX17661464	SRX17661465	SRX17661466	SRX17661467	SRX17661468	SRX17661469	SRX17661470	SRX17661471	SRX17661472	SRX17661473	SRX17661474	SRX17661475	SRX17661476	SRX17661477	SRX17661478	SRX17661479	SRX17661480	SRX17661481	SRX17661482	SRX17661483	SRX17661484	SRX17661485	SRX17661486	SRX17661487	SRX17661488	SRX17661489	SRX17661490	SRX17661491	SRX17661492	SRX17661493	SRX17661494	SRX17661495	SRX17661496	SRX17661497	SRX17661498	SRX17661499	SRX17661500	SRX17661501	SRX17661502	SRX17661503	SRX17661504	SRX17661505	SRX17661506	SRX17661507	SRX17661508	SRX17661509	SRX3196051	SRX3196052
g9112.t1	g9112	1149.760153	1772.503403	1605.250202	924.839832	1655.829053	1871.72429	980.689827	1131.403327	718.412371	469.469343	497.232404	467.997131	1257.636552	856.893638	895.71166	1827.790234	1460.632176	657.99733	904.697847	614.093989	650.882002	1965.784611	1054.418904	1283.331886	1321.599642	1073.092942	1000.363431	881.556681	1111.674744	1138.04841	708.363794	425.497824	563.87529	2318.204827	945.817862	714.579961	470.675604	768.117599	762.090382	744.434067	1300.452653	1263.334567	1334.187403	1317.003215	283.561665	1287.055634	882.181646	983.849306	791.565734	905.62069
g9113.t1	g9113	51.904445	43.476357	75.146652	53.977114	50.328468	59.280925	46.467439	44.997105	62.123658	52.253422	44.343694	48.85123	45.947168	18.170203	21.21227	17.732307	17.635373	20.330134	22.424617	20.494362	34.961073	24.526398	14.735874	20.204903	19.359744	56.221663	47.16713	58.261858	24.314962	44.785876	62.319689	49.4037	67.83692	9.193947	23.12841	21.269702	21.463575	34.295447	38.758947	37.438685	16.970797	11.071287	17.043548	19.986653	42.402108	17.931748	36.866402	23.764368	16.228434	9.808851
g9114.t1	g9114	0.145515	0.26201	0.571662	0.771376	0.205242	1.14324	0.916012	0.760679	1.342023	2.032474	1.420363	1.88904	1.789366	61.820903	43.538892	33.128756	55.474085	44.827381	37.11277	10.105152	28.216276	55.872042	93.288746	48.143307	91.952339	1.176969	0.951406	3.199339	0	1.55691	1.892792	2.172994	2.065466	17.526095	95.840942	28.040017	114.408575	1.409705	47.098983	54.15286	63.662496	84.919234	131.754521	152.516744	29.818428	85.249835	50.924313	99.352198	31.306222	34.840919
g9115.t1	g9115	1.911489	0.398424	0.774707	1.407747	0.887955	0.521747	1.530435	1.00267	0.697866	3.295685	1.87595	2.162791	1.67578	8.220168	13.763458	6.731745	10.948887	6.942521	6.374287	14.160166	6.98624	9.19573	3.520161	1.539236	4.660189	1.806871	0.723467	0	0	0.793438	0	2.387792	0.628161	2.632655	7.390404	1.344715	12.105495	1.93652	2.476304	3.628938	6.337005	3.437489	4.463622	5.898648	4.957302	2.030771	1.947334	4.351819	10.329871	0
g9116.t1	g9116	1240.540133	1916.454866	1080.341711	1007.797782	1656.373878	1055.245244	994.233826	1315.212549	854.672311	422.895315	265.505398	400.507757	670.400392	16.434026	26.815889	8.663012	11.535232	131.038465	241.19048	50.448703	114.418182	38.588178	114.363687	158.870781	300.869046	983.333208	970.743622	731.775315	742.49715	1165.07035	429.46566	410.601424	371.291516	113.903793	211.067859	111.907106	153.384483	170.908962	483.409777	425.384316	38.282811	36.319393	108.516048	86.466503	365.996646	415.324976	703.878901	588.614507	754.211346	520.98656
g9117.t1	g9117	236.697376	215.700071	377.626205	269.509827	264.028152	433.80305	271.129575	254.028885	308.988998	271.60708	261.552514	274.246499	231.846254	70.812592	77.468499	67.699577	75.682471	125.906479	148.342988	85.546705	152.280403	53.30582	76.812369	72.273625	112.06416	277.368709	201.229547	408.526354	74.147304	240.618549	368.812931	256.725953	334.377754	22.740782	77.627569	87.342615	91.70264	167.354166	112.485585	125.611586	70.984967	57.044897	70.600696	78.942337	168.578677	101.97068	123.259247	106.458682	56.369628	46.726137
g9118.t1	g9118	78.41467	82.147612	67.035913	72.542292	65.687638	33.425253	60.50873	50.43418	37.323264	28.774959	26.086739	30.588164	46.374479	14.388404	23.653625	13.132887	29.590545	61.77314	94.086241	30.891911	62.812452	23.83382	54.795756	40.511523	79.35558	53.107154	43.006218	16.989063	17.033364	35.701541	19.299751	26.762286	23.702813	10.621066	66.50228	31.538052	61.137317	15.140074	90.252487	74.442831	23.45249	31.328297	40.674129	55.519349	110.432731	73.715368	111.229238	87.669974	21.244128	33.018313
g9119.t1	g9119	0.056433	0	0	0.195946	0	1.017344	0.154293	0	0.12953	0.746669	0.914004	0.674656	1.089296	0.720046	0.570422	6.323434	3.202113	1.802854	0	1.543569	1.362521	11.659358	3.431511	0.899849	1.51404	0	0.282138	0.614067	0.370904	0.601829	1.689464	0.752715	1.837287	8.840918	3.601974	1.309973	2.144356	0	0.603256	1.515454	4.117211	6.702014	5.010928	5.36824	1.932398	0.848099	0	0.606005	0	0
g912.t1	g912	36.942749	24.258859	54.302805	49.262582	34.322527	65.760773	41.218662	34.622523	53.205046	51.388477	43.725921	45.621006	46.121647	11.694855	12.166682	16.788264	19.799602	12.836661	11.78491	20.835527	11.272382	30.362404	8.481867	16.175098	8.300604	49.248454	32.161989	48.823436	12.145569	37.023348	61.480653	51.764036	58.97128	12.749666	10.710724	8.921836	9.261086	22.03264	11.131947	14.493145	12.328826	11.089148	10.26131	12.943727	16.028361	12.367061	15.596941	13.099512	13.268611	9.165558
g9120.t1	g9120	2.638862	0.927143	1.637417	2.414321	2.904604	2.75946	0.782224	0.984588	2.217151	5.197645	7.350683	6.133121	19.346587	6.846053	1.055654	230.790697	128.576645	5.399773	3.279978	7.162271	2.954512	328.482262	141.908598	2.934824	14.797975	1.354368	1.377447	4.00101	3.629661	0.838716	2.445025	3.124325	5.979866	11.448078	139.031726	12.82523	4.275136	116.794741	54.415705	59.848206	133.623118	174.248259	210.814892	251.155775	0	41.475187	0.229051	30.590858	0	0
