Orthogroup	caenorhabditis_elegans.PRJNA13758	nxOscDolc1.1	nxOscOnir1.2	nxOscSper1.1	nxOscSpeu1.1	nxOscTipu1.1	Total
OG0000358	0	9	4	2	1	2	18
OG0000359	0	7	3	2	2	4	18
OG0000360	0	6	3	3	5	1	18
OG0000361	0	1	0	17	0	0	18
OG0000362	0	10	2	3	0	3	18
OG0000363	0	0	0	16	2	0	18
OG0000364	3	2	4	2	2	4	17
OG0000365	1	2	4	3	3	4	17
OG0000366	2	4	3	2	3	3	17
OG0000367	3	3	3	3	2	3	17
OG0000368	2	3	3	3	3	3	17
OG0000369	2	3	3	3	3	3	17
OG0000370	5	2	3	2	3	2	17
OG0000371	1	4	3	2	4	3	17
OG0000372	2	3	3	3	3	3	17
OG0000373	4	4	1	3	2	3	17
OG0000374	2	3	3	3	3	3	17
OG0000375	17	0	0	0	0	0	17
OG0000376	17	0	0	0	0	0	17
OG0000377	6	0	1	1	8	1	17
OG0000378	6	3	2	1	3	2	17
OG0000379	1	4	4	3	2	3	17
OG0000380	12	1	1	1	1	1	17
OG0000381	3	4	1	5	2	2	17
OG0000382	1	4	3	2	4	3	17
OG0000383	2	3	3	3	3	3	17
OG0000384	17	0	0	0	0	0	17
OG0000385	3	2	3	4	2	3	17
OG0000386	2	5	3	2	2	3	17
OG0000387	1	4	3	2	2	5	17
OG0000388	1	4	3	2	4	3	17
OG0000389	3	2	4	1	3	4	17
OG0000390	3	5	4	1	3	1	17
OG0000391	3	6	3	2	2	1	17
OG0000392	1	4	4	2	3	3	17
OG0000393	1	4	3	3	3	3	17
OG0000394	0	17	0	0	0	0	17
OG0000395	0	5	2	2	5	3	17
OG0000396	0	2	5	2	4	4	17
OG0000397	0	2	7	3	2	3	17
OG0000398	0	17	0	0	0	0	17
OG0000399	0	12	0	1	3	1	17
OG0000400	0	6	1	5	3	2	17
OG0000401	0	6	4	2	2	3	17
OG0000402	0	7	2	2	3	3	17
OG0000403	0	6	3	4	3	1	17
OG0000404	0	2	1	0	13	1	17
OG0000405	0	6	4	0	4	3	17
OG0000406	0	2	1	2	9	3	17
OG0000407	0	0	13	0	0	4	17
OG0000408	0	0	17	0	0	0	17
OG0000409	0	0	0	8	8	1	17
OG0000410	0	0	0	0	17	0	17
OG0000411	0	0	0	0	0	17	17
OG0000412	2	4	3	1	3	3	16
OG0000413	7	3	1	1	2	2	16
OG0000414	1	4	4	2	3	2	16
OG0000415	15	0	0	1	0	0	16
OG0000416	3	4	3	1	2	3	16
OG0000417	2	2	2	3	4	3	16
OG0000418	1	2	3	3	4	3	16
OG0000419	6	2	2	2	2	2	16
OG0000420	4	3	3	2	2	2	16
OG0000421	3	3	2	3	3	2	16
OG0000422	3	2	4	2	1	4	16
OG0000423	1	3	3	3	3	3	16
OG0000424	1	3	3	3	3	3	16
OG0000425	2	2	7	1	2	2	16
OG0000426	16	0	0	0	0	0	16
OG0000427	2	4	5	2	1	2	16
